unique_english,spanish
Dividend,Dividendo
Quotient,Quotient
equation,ecuación
tray,bandeja
blank,blanco
Blank,Blanco
Plus,Más
Minus,Menos
Plus or Minus,Más o Menos
Greater than,Mayor que
Less than,Menor que
plus,más
minus,menos
times,por
divided by,entre
groups of,grupos de
jumps of,brincos de
lands on,aterriza en
is equal to,es igual a
First,Primer
Second,Segundo
in play,en juego
out of play,fuera de juego
of,de
left,izquierda
right,derecha
blue,azul
green,verde
orange,naranja
counter,contador
counters,contadores
numbergram,númerograma
tenframe,grilla de diez
negative,negative
selected,selected
not selected,not selected
and,y
Labels container. Use arrows to navigate between labels.,Labels container. Use arrows to navigate between labels.
fraction start,fraction start
fraction end,fraction end
over,over
cents,centavos
minutes,minutos
time,time
exponentiation,exponentiation
Group. Use arrows to navigate.,Group. Use arrows to navigate.
